Restaurant,Categtory,Cuisine,Building,Level,Address,Open,Close,Bfast,Lunch,Dinner,Cost,Rating,Link,Coordinates
D. Brians,Fast casual,Sandwiches,Canadian Pacific Plaza,Ground,"120 South 6th St, Minneapolis, MN 55402",7:00am,2:00pm,Yes,Yes,No,<$10,3.4,http://places.singleplatform.com/d-brian-deli/menu?ref=google,"44.977179112558446, -93.26907864935079"
Potbelly ,Fast casual,Sandwiches,Rand Tower Hotel,Skyway,"527 S Marquette Ave, Minneapolis, MN 55402",8:30am,4:00pm,Yes,Yes,No,<$15,4.1,https://www.potbelly.com/menu/sandwiches,"44.97738776735289, -93.26954194440977"
Potbelly ,Fast casual,Sandwiches,IDS,Skyway,"IDS Center, 80 S 8th St #210, Minneapolis, MN 55402",7:00am,7:00pm,Yes,Yes,Yes,<$15,4.1,https://www.potbelly.com/menu/sandwiches,"44.976381385870255, -93.27200063153194"
The Burger Place,Fast casual,Burgers,US Bank Plaza,Skyway,"220 South 6th St #215, Minneapolis, MN 55402",7:00am,3:00pm,Yes,Yes,No,<$15,4.2,https://places.singleplatform.com/the-burger-place/menu?ref=google,"44.97683627596229, -93.26729199850801"
Naf Naf Grill,Fast casual,Middle Eastern,City Center,Skyway,"40 S 7th St, Minneapolis, MN 55402",10:30am,4:00pm,No,Yes,No,<$15,4.3,https://nafnafgrill.com/#menu,"44.977867164498996, -93.27288938804901"
Leeann Chin,Fast casual,Chinese,City Center,Skyway,"40 S 7th St, Minneapolis, MN 55402",11:00am,2:00pm,No,Yes,No,<$15,3.6,https://ordering.leeannchin.com/menu/10,"44.97764641782357, -93.27302413221176"
Jr. Brothers Thai Food and Such ,Fast casual,Thai,US Bank Plaza,Skyway,"200 South 6th St Ste 280, Minneapolis, MN 55402",10:30am,2:30pm,No,Yes,No,<$15,4.7,https://www.jrbrothersthai.com/,"44.9772100645398, -93.26719902598987"
Andrea Pizza,Fast casual,Pizza,Capella Tower,Skyway,"225 South 6th St, Minneapolis, MN 55402",9:00am,3:00pm,Yes,Yes,No,<$15,4.7,http://places.singleplatform.com/andrea-pizza-minneapolis/menu?ref=google,"44.97645256215026, -93.26809164097939"
Spyhouse Coffee Roasters,Coffee,Coffee,Emery Hotel,Ground,"215 S 4th St, Minneapolis, MN 55401",6:30am,5:00pm,Yes,Yes,No,<$10,4.6,https://www.spyhousecoffee.com/,"44.97864131683057, -93.26709298636361"
Bep Eatery,Fast casual,Vietnamese,Fifth Street Towers,Skyway,"100 S 5th St #210, Minneapolis, MN 55402",11:00am,2:00pm,No,Yes,No,<$10,4.4,https://bepeatery.com/,"44.97843353415478, -93.2686528909927"
Bep Eatery,Fast casual,Vietnamese,LeSalle Plaza,Ground,"LaSalle Plaza, 800 La Salle Ave #211, Minneapolis, MN 55402",11:00am,2:00pm,No,Yes,No,<$10,4.4,https://bepeatery.com/,"44.97636921076225, -93.27513310827369"
Tom's Watch Bar,Drinks,Drinks,City Center,Ground,"609 Hennepin Ave, Minneapolis, MN 55403",4:00pm,11:00pm,No,No,Yes,,4.9,https://tomswatchbar.com/location/minneapolis/menus/,"44.97851258512183, -93.2737498089312"
Fogo de Chao ,Dine-in,Steak,City Center,Ground,"645 Hennepin Ave, Minneapolis, MN 55403",11:30am,10:00pm,No,Yes,Yes,>$50,4.7,https://fogodechao.com/location/minneapolis/#menus,"44.9780888241707, -93.27412189693592"
Wood + Paddle Eatery,Dine-in,American,PWC Plaza,Ground,"31 S 7th St, Minneapolis, MN 55402",6:30am,9:00pm,Yes,Yes,Yes,<$20,4.2,https://woodandpaddlemn.com/menus/,"44.97735480617109, -93.27378925989287"
